Libelle,Count,geo_point.1,geo_point.2,
Quai_Hotel_de_Ville,11121764,48.85349464,2.351636944,
SI_Brancion,1051039,48.82512333,2.303555721,
Cours_de_Vincennes,11525688,48.84721662,2.399890345,
Pte_Vanves-Ech_P,236110,48.82490547,2.303979735,
Av_Pte_Vincennes,2936399,48.84682483,2.412529726,
Av_Denf_Rocher-Av_Observatoire,479913,48.83857742,2.336219062,
AE_Brancion_2,662849,48.82495336,2.302945341,
PI_Charles_Hermite,8355751,48.90068533,2.365554903,
Pte_de_Charenton,365510,48.83124221,2.398654928,
PI_Zenith,7504250,48.89484296,2.394629132,
PI_Pantin,6507894,48.88934286,2.396198204,
PE_Poissonniers,8678343,48.90118742,2.351952324,
PE_Clignancourt,7571520,48.9010668,2.344062733,
Pt_d'Iena,1048731,48.85963372,2.292136353,
PE_St_Ouen,6674106,48.90075832,2.329069106,
Souterrain_Dauphine,538360,48.87181221,2.275607832,
PE_Asnieres,6265077,48.8919275,2.301014509,
PE_Batignolles,7266789,48.89875663,2.316029171,
PE_Courcelles,5869105,48.88940688,2.295647327,
PE_Muette_Passy,7872013,48.86059919,2.263451444,
Av_des_Ternes,3094287,48.87798688,2.289768561,
St_Fargeau,360430,48.87135673,2.401776696,
Vercingetorix,3259281,48.82848409,2.305796828,
AE_Bagnolet_bretelle_3b,711392,48.86541378,2.413603041,
Bd_Richard_Lenoir,1040200,48.85436595,2.369999174,
Av_Pte_d'Italie,4648321,48.81691003,2.359653357,
Bd_de_Grenelle,303163,48.85438951,2.288584222,
Souterrain_Champs_Elysees,652975,48.86505706,2.319196207,
Bd_Beaumarchais,5214170,48.85437382,2.367273898,
Av_de_Friedland,2700749,48.87387398,2.296660453,
VGP_Souterrain_Concorde,1309841,48.86475561,2.318436066,
Pt_de_Tolbiac,1430919,48.83282731,2.38088802,
Massena,754576,48.81923048,2.360792563,
St_Jacques,3891430,48.84710674,2.343513952,
Av_St_Ouen,448788,48.89220542,2.327214436,
Quai_des_Tuileries,2049935,48.86042967,2.331802915,
Daumesnil,2205428,48.83460302,2.371584426,
Quai_Celestins,7831780,48.85167436,2.358370366,
Cours_La_Reine,1000545,48.86459811,2.311933487,
Pt_des_Invalides,730419,48.86359077,2.310353559,
Rue_Fbg_St_Martin,3881020,48.87445049,2.35880877,
Quai_d'Orsay,9670968,48.86238392,2.301788933,
